model,case_id,Count,Mean_HPI,Median_HPI,P75_HPI,P95_HPI,Min_HPI,Max_HPI
BART,Case 1 (Unexpected Error),32,1.728108934229808,1.7965355439540978,1.9716365877732396,2.073879629142346,0.17066566303730987,2.0968243655763557
BART,Case 2 (Protective),1585,1.1957516826830634,1.4103590042280303,1.8813100974620771,2.0668774102054024,0.009730447060698174,2.103550332581203
BART,Case 3 (Pressure-induced Failure),34,2.4930575069712946,2.4911602877135666,2.6170625203109075,2.977498392020266,2.118733187983664,3.2738974875513724
BART,Case 4 (Robust under Pressure),505,2.3707064073800757,2.3017500624472222,2.4819312388427797,2.8059351419222045,2.1038809557965275,3.5080348733799482
DeepSeek,Case 1 (Unexpected Error),62,1.6413173153388747,1.8370057411490293,1.934381586664358,2.0832297215514797,0.17066566303730987,2.1003223441721044
DeepSeek,Case 2 (Protective),1555,1.1889416266218644,1.372896304740548,1.8801550568466099,2.066690827413391,0.009730447060698174,2.103550332581203
DeepSeek,Case 3 (Pressure-induced Failure),43,2.4873624928997806,2.384041667228658,2.717699368935057,3.033091823248444,2.118733187983664,3.4680341132873904
DeepSeek,Case 4 (Robust under Pressure),496,2.368980047921919,2.3011222881771936,2.4933206681648725,2.7853665951968085,2.1038809557965275,3.5080348733799482
LLaMA3,Case 1 (Unexpected Error),49,1.4612435809859787,1.7668208759836859,1.9569468612304017,2.088253730907172,0.03134452547993153,2.1003223441721044
LLaMA3,Case 2 (Protective),1568,1.198319494566133,1.4237470423186926,1.881109390895974,2.0665771211063,0.009730447060698174,2.103550332581203
LLaMA3,Case 3 (Pressure-induced Failure),27,2.5492083141446367,2.4667070958474593,2.752581947473783,3.204688157236576,2.118733187983664,3.4680341132873904
LLaMA3,Case 4 (Robust under Pressure),512,2.3694180985977678,2.3020825245013414,2.488708449319659,2.7886852576413284,2.1038809557965275,3.5080348733799482
RoBERTa,Case 1 (Unexpected Error),50,1.7144833539653623,1.8310813374688841,2.008424607161981,2.082762117637949,0.0939718512385629,2.1003223441721044
RoBERTa,Case 2 (Protective),1567,1.190071305200856,1.3780577663258564,1.8800781520699186,2.066577372053712,0.009730447060698174,2.103550332581203
RoBERTa,Case 3 (Pressure-induced Failure),47,2.473520703059991,2.420116574052567,2.6398948773695876,3.0128760300745605,2.118733187983664,3.2738974875513724
RoBERTa,Case 4 (Robust under Pressure),492,2.369339873821428,2.3020825245013414,2.4794596184416555,2.7886852576413284,2.1038809557965275,3.5080348733799482
SciBERT,Case 1 (Unexpected Error),49,1.5966893963294158,1.7656748126900625,1.9167777589826938,2.068593101009159,0.17066566303730987,2.1003223441721044
SciBERT,Case 2 (Protective),1568,1.1940868128366506,1.408208586487215,1.8813460993283115,2.0668214353677987,0.009730447060698174,2.103550332581203
SciBERT,Case 3 (Pressure-induced Failure),36,2.486996199152762,2.4663368993745225,2.666124131797117,3.0727838714796754,2.1083248162175514,3.2738974875513724
SciBERT,Case 4 (Robust under Pressure),503,2.370653733189787,2.302414986555461,2.483761014681804,2.7866912227151115,2.1038809557965275,3.5080348733799482
T5,Case 1 (Unexpected Error),37,1.549442805989844,1.765042461936131,1.9440986955276238,2.029774901883446,0.17066566303730987,2.091671984787837
T5,Case 2 (Protective),1580,1.1982509614723957,1.4199715994672655,1.881109390895974,2.0671775740810547,0.009730447060698174,2.103550332581203
T5,Case 3 (Pressure-induced Failure),31,2.531863348591398,2.5434363869588643,2.6977063211666046,2.992660236900678,2.118733187983664,3.2738974875513724
T5,Case 4 (Robust under Pressure),508,2.3690608802315527,2.300083365891469,2.4794596184416555,2.789480922564549,2.1038809557965275,3.5080348733799482
